"","SRR21765427_OE","SRR21765428_OE","SRR21765429_OE","SRR21765430_CTL","SRR21765431_CTL","SRR21765432_CTL","ENSEMBL"
"ENST00000175091.5",-1.03755887069851,-0.861467628896868,-0.819312232212063,0.777712916782254,1.07571908011239,0.864906734912799,"ENST00000175091"
"ENST00000411419.7",-0.972834526751414,-0.893432440044639,-0.830540677987796,0.604037316847515,1.12010333660587,0.972666991330463,"ENST00000411419"
"ENST00000226004.8",-0.940121103807323,-0.949949920165497,-0.835112635065027,0.758502636478087,1.04296841714556,0.923712605414197,"ENST00000226004"
"ENST00000307145.4",-1.00730868230085,-0.909602066465663,-0.79514574505873,0.731869079565466,1.11152907252505,0.868658341734727,"ENST00000307145"
"ENST00000409379.8",0.819324443568666,0.816557720157029,1.08487114961211,-1.01485457636762,-0.856148820753038,-0.849749916217136,"ENST00000409379"
"ENST00000612661.2",-0.953886983001523,-0.944802345068175,-0.826702051934653,0.750996735823421,1.00839481060161,0.96599983357932,"ENST00000612661"
"ENST00000205636.4",-1.04603012284302,-0.93033354518719,-0.716009975044415,0.648652090135684,1.11799028658575,0.925731266353191,"ENST00000205636"
"ENST00000370994.8",0.6442236696544,0.887526533399083,1.14912848674279,-1.08752835576217,-0.68559936214542,-0.907750971888694,"ENST00000370994"
"ENST00000389680.2",0.881962110619654,0.901242528181286,0.954591256385802,-0.917855509332693,-0.902552847821397,-0.917387538032653,"ENST00000389680"
"ENST00000367602.8",-0.920472072123584,-0.966011368189672,-0.826283490665312,0.68733408258717,1.09393077411427,0.931502074277132,"ENST00000367602"
"ENST00000276431.9",0.53584330766634,1.04506554851174,1.08823481310705,-1.05621824862777,-0.706228620695414,-0.906696799961951,"ENST00000276431"
"ENST00000565644.5",-0.968761372618735,-0.99849298764894,-0.739704695735868,0.770589352968341,1.12435519972682,0.812014503308383,"ENST00000565644"
"ENST00000568237.2",-0.975994888427674,-0.982419510794849,-0.755150370279934,0.762924442023198,1.09254058220019,0.858099745279072,"ENST00000568237"
"ENST00000254301.14",-0.965955824898152,-0.951920250891179,-0.784930625936451,0.658313679876572,1.12546553399672,0.919027487852486,"ENST00000254301"
