"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENST00000289382.8",-1.00208794793574,5.70735730807733,-12.0886734327936,2.34455598475527e-05,0.0130029467153814,3.51208650882162
"ENST00000259241.7",0.797446436833421,7.76232509742651,12.0803380872087,2.35371119144071e-05,0.0130029467153814,3.42170921554904
"ENST00000673974.1",-1.63995605979958,3.96296458262072,-12.5913836934191,1.86185364842987e-05,0.011632740155936,3.397529180972
"ENST00000421196.7",1.41508210909478,5.46923017472395,11.8640136490921,2.60654312497274e-05,0.0137323996629126,3.39513355982611
"ENST00000261667.8",-0.895557474703409,5.35517092890188,-11.8202131566745,2.66151240449926e-05,0.0137323996629126,3.37167844036842
"ENST00000303383.8",-1.85916864147593,3.10231844072004,-13.5618448364856,1.22142900481395e-05,0.010515840057749,3.34875413709607
"ENST00000373883.4",1.85718626184686,3.14303177315914,13.3566688030745,1.33205072878835e-05,0.010515840057749,3.31698067317678
"ENST00000381809.8",-1.58523573076803,4.50716597679277,-11.9799491277629,2.46731178281447e-05,0.013380097047925,3.31145517961376
"ENST00000636615.1",0.894447816374065,6.24946134651354,11.595101970138,2.96625667637243e-05,0.0144848669771572,3.2908738064638
"ENST00000261636.13",-1.09279214386217,4.39078931027245,-11.9070943668204,2.55376307019728e-05,0.0136931774348264,3.27454850690445
"ENST00000369026.3",-0.612652761225836,7.88577524298632,-11.8227427703339,2.65830124975357e-05,0.0137323996629126,3.27294515269075
"ENST00000359534.4",-1.54061464873823,3.63468587525265,-12.4920885285517,1.94724236397694e-05,0.011632740155936,3.26793904306873
"ENST00000254322.3",-1.43163975862154,6.10863018780492,-11.5348247089112,3.05463429554236e-05,0.0145273094688524,3.26382821920002
"ENST00000361786.7",-0.973539282137954,5.16980782975899,-11.5536469746868,3.02671211747548e-05,0.0145207841341201,3.23739304476774
"ENST00000648791.1",-2.27121231614881,4.96869512941676,-11.6269635578495,2.92074630558712e-05,0.0144848669771572,3.2211780339674
"ENST00000323116.10",-1.0511977411157,4.53268177219074,-11.6895422026437,2.83370620894149e-05,0.0144842112130307,3.21421064602582
"ENST00000380191.9",-0.656977609059547,7.68051262999303,-11.6078143315252,2.94800030098451e-05,0.0144848669771572,3.18874425666732
"ENST00000339594.9",-0.799294944789906,6.48904436462831,-11.390653039935,3.27874880230527e-05,0.0151432665897237,3.18180740462248
"ENST00000392491.6",1.10891281014031,5.78559160999809,11.3060872744536,3.41910393381044e-05,0.0151432665897237,3.15142044917182
"ENST00000369800.6",-0.700953061351473,5.81765870944044,-11.2656282605857,3.48872155032762e-05,0.0151432665897237,3.13245272224122
"ENST00000378555.8",0.814759542288689,8.10137746924087,11.6059358266378,2.95068978706552e-05,0.0144848669771572,3.13002377359573
"ENST00000014914.6",-1.3497137998755,6.91961129745676,-11.3062493939304,3.41882824735143e-05,0.0151432665897237,3.11643230306255
"ENST00000207549.9",-1.0957555157412,5.0778369741749,-11.2678563075033,3.4848450841972e-05,0.0151432665897237,3.09881117952249
"ENST00000331243.4",0.827412248773021,6.38592864203159,11.1904669152823,3.62248077685723e-05,0.015380644680643,3.08460160801702
"ENST00000382011.9",-0.770240536408145,5.34217940322832,-11.1915288605945,3.6205497737568e-05,0.015380644680643,3.08312853765203
"ENST00000274170.8",2.46953428134544,2.63390567710724,13.5968183209803,1.20366029345198e-05,0.010515840057749,3.07371829527276
"ENST00000621441.5",-1.208148218272,4.0263520937673,-11.5727921458385,2.99861537520431e-05,0.0145132984159889,3.06225805002561
"ENST00000301019.9",-0.789349619268398,5.96297893323012,-11.1233365167322,3.74701809970971e-05,0.0155251449931306,3.06174966918622
"ENST00000337435.9",-0.973718626382147,4.56729544194077,-11.2955478368647,3.43708206097557e-05,0.0151432665897237,3.05465252665214
"ENST00000303887.10",-0.74070640009419,7.50858408738921,-11.2834730353105,3.45781464829394e-05,0.0151432665897237,3.03942103204725
